Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
5886,US-2015-109456,2015-10-16,2015-10-17,Same Day,LS-17245,Lynn Smith,Consumer,United States,San Francisco,California,94110.0,West,OFF-BI-10000136,Office Supplies,Binders,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,14.352
5887,US-2015-109456,2015-10-16,2015-10-17,Same Day,LS-17245,Lynn Smith,Consumer,United States,San Francisco,California,94110.0,West,TEC-AC-10003610,Technology,Accessories,Logitech Illuminated - Keyboard,179.97
5888,CA-2018-151596,2018-10-08,2018-10-11,First Class,BP-11050,Barry Pond,Corporate,United States,Cranston,Rhode Island,2920.0,East,OFF-ST-10001837,Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",42.76
5889,CA-2016-147879,2016-05-07,2016-05-12,Standard Class,CC-12220,Chris Cortes,Consumer,United States,Owensboro,Kentucky,42301.0,South,OFF-PA-10001952,Office Supplies,Paper,Xerox 1902,45.68
5890,CA-2017-166625,2017-04-14,2017-04-17,First Class,JM-15580,Jill Matthias,Consumer,United States,Baltimore,Maryland,21215.0,East,OFF-BI-10002414,Office Supplies,Binders,GBC ProClick Spines for 32-Hole Punch,25.06
5891,CA-2017-146157,2017-11-21,2017-11-26,Standard Class,RD-19720,Roger Demir,Consumer,United States,Chicago,Illinois,60610.0,Central,OFF-PA-10001790,Office Supplies,Paper,Xerox 1910,38.432
5892,CA-2017-146157,2017-11-21,2017-11-26,Standard Class,RD-19720,Roger Demir,Consumer,United States,Chicago,Illinois,60610.0,Central,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",21.568
5893,CA-2017-146157,2017-11-21,2017-11-26,Standard Class,RD-19720,Roger Demir,Consumer,United States,Chicago,Illinois,60610.0,Central,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,81.576
5894,CA-2018-159954,2018-09-10,2018-09-14,Standard Class,SS-20410,Shahid Shariari,Consumer,United States,Atlanta,Georgia,30318.0,South,OFF-BI-10004876,Office Supplies,Binders,Wilson Jones Suede Grain Vinyl Binders,2.78
5895,CA-2018-100825,2018-09-09,2018-09-14,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,Los Angeles,California,90036.0,West,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,99.87
5896,CA-2015-168305,2015-11-01,2015-11-08,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Los Angeles,California,90049.0,West,OFF-LA-10003498,Office Supplies,Labels,Avery 475,44.4
5897,CA-2015-168305,2015-11-01,2015-11-08,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Los Angeles,California,90049.0,West,OFF-PA-10004947,Office Supplies,Paper,Easy-staple paper,21.4
5898,CA-2017-167682,2017-04-03,2017-04-09,Standard Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,Richmond,Indiana,47374.0,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",71.12
5899,CA-2017-167682,2017-04-03,2017-04-09,Standard Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,Richmond,Indiana,47374.0,Central,TEC-PH-10000673,Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset,259.96
5900,CA-2018-108000,2018-01-12,2018-01-16,Standard Class,LS-16945,Linda Southworth,Corporate,United States,San Francisco,California,94110.0,West,OFF-EN-10002621,Office Supplies,Envelopes,Staple envelope,9.78
5901,CA-2016-146465,2016-11-20,2016-11-24,Standard Class,PB-18805,Patrick Bzostek,Home Office,United States,San Francisco,California,94122.0,West,OFF-BI-10004528,Office Supplies,Binders,Cardinal Poly Pocket Divider Pockets for Ring Binders,24.192
5902,CA-2017-159639,2017-11-27,2017-12-02,Standard Class,PC-18745,Pamela Coakley,Corporate,United States,Westfield,New Jersey,7090.0,East,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,31.56
5903,US-2018-153948,2018-11-06,2018-11-06,Same Day,FM-14290,Frank Merwin,Home Office,United States,San Francisco,California,94122.0,West,OFF-PA-10000157,Office Supplies,Paper,Xerox 191,59.94
5904,US-2018-153948,2018-11-06,2018-11-06,Same Day,FM-14290,Frank Merwin,Home Office,United States,San Francisco,California,94122.0,West,OFF-PA-10002764,Office Supplies,Paper,Easy-staple paper,45.36
5905,US-2018-153948,2018-11-06,2018-11-06,Same Day,FM-14290,Frank Merwin,Home Office,United States,San Francisco,California,94122.0,West,OFF-PA-10000143,Office Supplies,Paper,Astroparche Fine Business Paper,26.4
5906,US-2018-153948,2018-11-06,2018-11-06,Same Day,FM-14290,Frank Merwin,Home Office,United States,San Francisco,California,94122.0,West,OFF-LA-10000414,Office Supplies,Labels,Avery 503,41.4
5907,US-2018-153948,2018-11-06,2018-11-06,Same Day,FM-14290,Frank Merwin,Home Office,United States,San Francisco,California,94122.0,West,TEC-AC-10003441,Technology,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,16.95
5908,US-2017-113985,2017-12-02,2017-12-07,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,San Jose,California,95123.0,West,OFF-BI-10002353,Office Supplies,Binders,GBC VeloBind Cover Sets,24.704
5909,US-2017-113985,2017-12-02,2017-12-07,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,San Jose,California,95123.0,West,OFF-AP-10001303,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",59.7
5910,US-2017-113985,2017-12-02,2017-12-07,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,San Jose,California,95123.0,West,FUR-FU-10003026,Furniture,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Black",14.52
5911,US-2017-113985,2017-12-02,2017-12-07,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,San Jose,California,95123.0,West,OFF-BI-10000632,Office Supplies,Binders,Satellite Sectional Post Binders,104.184
5912,CA-2017-155383,2017-12-17,2017-12-22,Standard Class,SC-20680,Steve Carroll,Home Office,United States,Seattle,Washington,98115.0,West,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",46.53
5913,CA-2015-120432,2015-08-24,2015-08-26,Second Class,DW-13585,Dorothy Wardle,Corporate,United States,Owensboro,Kentucky,42301.0,South,OFF-SU-10004661,Office Supplies,Supplies,Acme Titanium Bonded Scissors,25.5
5914,US-2016-126977,2016-09-17,2016-09-23,Standard Class,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035.0,East,OFF-ST-10000617,Office Supplies,Storage,Woodgrain Magazine Files by Perma,14.9
5915,US-2016-126977,2016-09-17,2016-09-23,Standard Class,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035.0,East,OFF-LA-10002762,Office Supplies,Labels,Avery 485,87.71
5916,US-2016-126977,2016-09-17,2016-09-23,Standard Class,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035.0,East,FUR-CH-10001973,Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,199.764
5917,US-2016-126977,2016-09-17,2016-09-23,Standard Class,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035.0,East,OFF-ST-10003058,Office Supplies,Storage,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,94.6
5918,US-2016-126977,2016-09-17,2016-09-23,Standard Class,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035.0,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4228.704
5919,US-2016-126977,2016-09-17,2016-09-23,Standard Class,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035.0,East,FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,2003.92
5920,US-2016-126977,2016-09-17,2016-09-23,Standard Class,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035.0,East,TEC-PH-10002170,Technology,Phones,ClearSounds CSC500 Amplified Spirit Phone Corded phone,209.97
5921,US-2016-126977,2016-09-17,2016-09-23,Standard Class,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035.0,East,TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,659.9
5922,US-2016-126977,2016-09-17,2016-09-23,Standard Class,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035.0,East,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",110.96
5923,US-2016-126977,2016-09-17,2016-09-23,Standard Class,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035.0,East,TEC-PH-10000169,Technology,Phones,ARKON Windshield Dashboard Air Vent Car Mount Holder,67.8
5924,CA-2017-130288,2017-11-26,2017-11-30,Second Class,DK-13225,Dean Katz,Corporate,United States,New York City,New York,10011.0,East,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",313.176
5925,CA-2018-146458,2018-11-19,2018-11-22,Second Class,RB-19435,Richard Bierner,Consumer,United States,Springfield,Virginia,22153.0,South,OFF-AR-10001177,Office Supplies,Art,Newell 349,22.96
5926,CA-2018-150420,2018-06-03,2018-06-08,Standard Class,GD-14590,Giulietta Dortch,Corporate,United States,Bellingham,Washington,98226.0,West,TEC-AC-10004975,Technology,Accessories,Plantronics Audio 995 Wireless Stereo Headset,1099.5
5927,US-2015-118997,2015-04-08,2015-04-12,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Decatur,Alabama,35601.0,South,FUR-TA-10001086,Furniture,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",1215.92
5928,CA-2015-114314,2015-10-11,2015-10-15,Standard Class,DB-13555,Dorothy Badders,Corporate,United States,Fayetteville,Arkansas,72701.0,South,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,7.31
5929,CA-2015-114314,2015-10-11,2015-10-15,Standard Class,DB-13555,Dorothy Badders,Corporate,United States,Fayetteville,Arkansas,72701.0,South,FUR-FU-10002107,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,8.92
5930,US-2018-169551,2018-07-07,2018-07-09,First Class,RL-19615,Rob Lucas,Consumer,United States,Philadelphia,Pennsylvania,19120.0,East,FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,87.21
5931,US-2018-169551,2018-07-07,2018-07-09,First Class,RL-19615,Rob Lucas,Consumer,United States,Philadelphia,Pennsylvania,19120.0,East,OFF-PA-10004100,Office Supplies,Paper,Xerox 216,15.552
5932,US-2018-169551,2018-07-07,2018-07-09,First Class,RL-19615,Rob Lucas,Consumer,United States,Philadelphia,Pennsylvania,19120.0,East,TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,683.988
5933,US-2018-169551,2018-07-07,2018-07-09,First Class,RL-19615,Rob Lucas,Consumer,United States,Philadelphia,Pennsylvania,19120.0,East,OFF-ST-10004835,Office Supplies,Storage,Plastic Stacking Crates & Casters,13.392
5934,US-2018-169551,2018-07-07,2018-07-09,First Class,RL-19615,Rob Lucas,Consumer,United States,Philadelphia,Pennsylvania,19120.0,East,TEC-AC-10002018,Technology,Accessories,AmazonBasics 3-Button USB Wired Mouse,16.776
5935,US-2018-169551,2018-07-07,2018-07-09,First Class,RL-19615,Rob Lucas,Consumer,United States,Philadelphia,Pennsylvania,19120.0,East,TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,527.92
5936,CA-2017-103107,2017-07-04,2017-07-04,Same Day,RB-19465,Rick Bensley,Home Office,United States,Seattle,Washington,98103.0,West,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",25.4
5937,CA-2017-103107,2017-07-04,2017-07-04,Same Day,RB-19465,Rick Bensley,Home Office,United States,Seattle,Washington,98103.0,West,TEC-PH-10001198,Technology,Phones,Avaya 4621SW VoIP phone,177.48
5938,CA-2017-103107,2017-07-04,2017-07-04,Same Day,RB-19465,Rick Bensley,Home Office,United States,Seattle,Washington,98103.0,West,TEC-PH-10002564,Technology,Phones,OtterBox Defender Series Case - Samsung Galaxy S4,71.976
5939,CA-2018-122077,2018-05-19,2018-05-25,Standard Class,JF-15295,Jason Fortune-,Consumer,United States,Plano,Texas,75023.0,Central,TEC-PH-10003811,Technology,Phones,Jabra Supreme Plus Driver Edition Headset,95.992
5940,CA-2018-122077,2018-05-19,2018-05-25,Standard Class,JF-15295,Jason Fortune-,Consumer,United States,Plano,Texas,75023.0,Central,OFF-LA-10004178,Office Supplies,Labels,Avery 491,13.216
5941,CA-2018-112431,2018-10-12,2018-10-14,Second Class,RW-19690,Robert Waldorf,Consumer,United States,Los Angeles,California,90049.0,West,TEC-AC-10001465,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,435.84
5942,CA-2018-112431,2018-10-12,2018-10-14,Second Class,RW-19690,Robert Waldorf,Consumer,United States,Los Angeles,California,90049.0,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,5.88
5943,CA-2017-151092,2017-08-06,2017-08-13,Standard Class,VG-21790,Vivek Gonzalez,Consumer,United States,Los Angeles,California,90032.0,West,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,211.168
5944,CA-2015-104178,2015-08-25,2015-08-29,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Los Angeles,California,90036.0,West,FUR-FU-10000771,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Smoke",6.28
5945,CA-2015-104178,2015-08-25,2015-08-29,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Los Angeles,California,90036.0,West,TEC-AC-10002399,Technology,Accessories,SanDisk Cruzer 32 GB USB Flash Drive,95.1
5946,CA-2015-104178,2015-08-25,2015-08-29,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Los Angeles,California,90036.0,West,OFF-PA-10004983,Office Supplies,Paper,Xerox 23,25.92
5947,CA-2015-104178,2015-08-25,2015-08-29,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Los Angeles,California,90036.0,West,OFF-ST-10004258,Office Supplies,Storage,Portable Personal File Box,48.84
5948,CA-2016-115924,2016-09-14,2016-09-18,Second Class,BE-11455,Brad Eason,Home Office,United States,Des Moines,Iowa,50315.0,Central,OFF-BI-10004040,Office Supplies,Binders,Wilson Jones Impact Binders,25.9
5949,CA-2018-161046,2018-03-05,2018-03-05,Same Day,CB-12535,Claudia Bergmann,Corporate,United States,Southaven,Mississippi,38671.0,South,OFF-EN-10003862,Office Supplies,Envelopes,Laser & Ink Jet Business Envelopes,42.68
5950,CA-2018-161046,2018-03-05,2018-03-05,Same Day,CB-12535,Claudia Bergmann,Corporate,United States,Southaven,Mississippi,38671.0,South,TEC-AC-10004571,Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,299.97
